ELEMENTO.ID;DSC;TIPO;CONTEXTO;PORC.APL;EDIFICIO;NIVEL;PISO;DEPTO;COSTO;COSTO.PORC
E20.P;Pisos;PISO;;0;E20;;;;0;0
E10.F;Relleno Estructural;NIVEL;;0;E10;;;;0;0
E10.L;Losa Fundacion;LOSA;;0;E10;;;;0;0
E09.P;Pisos;PISO;;0;E09;;;;0;0
E09.L;Losa Fundacion;LOSA;;0;E09;;;;0;0
E08.P;Pisos;PISO;;0;E08;;;;0;0
E08.F;Relleno Estructural;NIVEL;;0;E08;;;;0;0
E08.L;Losa Fundacion;LOSA;;0;E08;;;;0;0
E07.P;Pisos;PISO;;0;E07;;;;0;0
E10.P;Pisos;PISO;;0;E10;;;;0;0
E11.L;Losa Fundacion;LOSA;;0;E11;;;;0;0
E13.P;Pisos;PISO;;0;E13;;;;0;0
E13.F;Relleno Estructural;NIVEL;;0;E13;;;;0;0
E13.L;Losa Fundacion;LOSA;;0;E13;;;;0;0
E12.P;Pisos;PISO;;0;E12;;;;0;0
E12.F;Relleno Estructural;NIVEL;;0;E12;;;;0;0
E12.L;Losa Fundacion;LOSA;;0;E12;;;;0;0
E11.P;Pisos;PISO;;0;E11;;;;0;0
E11.F;Relleno Estructural;NIVEL;;0;E11;;;;0;0
E07.F;Relleno Estructural;NIVEL;;0;E07;;;;0;0
E07.L;Losa Fundacion;LOSA;;0;E07;;;;0;0
E03.F;Relleno Estructural;NIVEL;;0;E03;;;;0;0
E03.L;Losa Fundacion;LOSA;;0;E03;;;;0;0
E02.P;Pisos;PISO;;0;E02;;;;0;0
E02.F;Relleno Estructural;NIVEL;;0;E02;;;;0;0
E02.L;Losa Fundacion;LOSA;;0;E02;;;;0;0
E01.P;Pisos;PISO;;0;E01;;;;0;0
E01.F;Relleno Estructural;NIVEL;;0;E01;;;;0;0
E01.L;Losa Fundacion;LOSA;;0;E01;;;;0;0
E03.P;Pisos;PISO;;0;E03;;;;0;0
E04.L;Losa Fundacion;LOSA;;0;E04;;;;0;0
E06.P;Pisos;PISO;;0;E06;;;;0;0
E06.F;Relleno Estructural;NIVEL;;0;E06;;;;0;0
E06.L;Losa Fundacion;LOSA;;0;E06;;;;0;0
E05.P;Pisos;PISO;;0;E05;;;;0;0
E05.F;Relleno Estructural;NIVEL;;0;E05;;;;0;0
E05.L;Losa Fundacion;LOSA;;0;E05;;;;0;0
E04.P;Pisos;PISO;;0;E04;;;;0;0
E04.F;Relleno Estructural;NIVEL;;0;E04;;;;0;0
E14.L;Losa Fundacion;LOSA;;0;E14;;;;0;0
E14.F;Relleno Estructural;NIVEL;;0;E14;;;;0;0
E18.F;Relleno Estructural;NIVEL;;0;E18;;;;0;0
E18.P;Pisos;PISO;;0;E18;;;;0;0
E19.L;Losa Fundacion;LOSA;;0;E19;;;;0;0
E19.F;Relleno Estructural;NIVEL;;0;E19;;;;0;0
E19.P;Pisos;PISO;;0;E19;;;;0;0
E20.L;Losa Fundacion;LOSA;;0;E20;;;;0;0
E20.F;Relleno Estructural;NIVEL;;0;E20;;;;0;0
E14.P;Pisos;PISO;;0;E14;;;;0;0
E09.F;Relleno Estructural;NIVEL;;0;E09;;;;0;0
E18.L;Losa Fundacion;LOSA;;0;E18;;;;0;0
E17.P;Pisos;PISO;;0;E17;;;;0;0
E15.L;Losa Fundacion;LOSA;;0;E15;;;;0;0
E15.F;Relleno Estructural;NIVEL;;0;E15;;;;0;0
E15.P;Pisos;PISO;;0;E15;;;;0;0
E16.L;Losa Fundacion;LOSA;;0;E16;;;;0;0
E16.F;Relleno Estructural;NIVEL;;0;E16;;;;0;0
E16.P;Pisos;PISO;;0;E16;;;;0;0
E17.L;Losa Fundacion;LOSA;;0;E17;;;;0;0
E17.F;Relleno Estructural;NIVEL;;0;E17;;;;0;0
E14.P1.D13;Depto 13;DEPTO;DEPTO_INV;1.0;E14;;P1;D13;380.656377;0.0011007529
E07.P1.D13;Depto 13;DEPTO;DEPTO_INV;1.0;E07;;P1;D13;380.656377;0.0011007529
E02.P1.D13;Depto 13;DEPTO;DEPTO_INV;1.0;E02;;P1;D13;380.656377;0.0011007529
E12.P1.D13;Depto 13;DEPTO;DEPTO_INV;1.0;E12;;P1;D13;380.656377;0.0011007529
E06.P1.D13;Depto 13;DEPTO;DEPTO_INV;1.0;E06;;P1;D13;380.656377;0.0011007529
E05.P1.D13;Depto 13;DEPTO;DEPTO_INV;1.0;E05;;P1;D13;380.656377;0.0011007529
E09.P1.D13;Depto 13;DEPTO;DEPTO_INV;1.0;E09;;P1;D13;380.656377;0.0011007529
E03.P1.D13;Depto 13;DEPTO;DEPTO_INV;1.0;E03;;P1;D13;380.656377;0.0011007529
E04.P1.D13;Depto 13;DEPTO;DEPTO_INV;1.0;E04;;P1;D13;380.656377;0.0011007529
E13.P1.D13;Depto 13;DEPTO;DEPTO_INV;1.0;E13;;P1;D13;380.656377;0.0011007529
E01.P1.D13;Depto 13;DEPTO;DEPTO_INV;1.0;E01;;P1;D13;380.656377;0.0011007529
E11.P1.D13;Depto 13;DEPTO;DEPTO_INV;1.0;E11;;P1;D13;380.656377;0.0011007529
E15.P1.D13;Depto 13;DEPTO;DEPTO_INV;1.0;E15;;P1;D13;380.656377;0.0011007529
E10.P1.D13;Depto 13;DEPTO;DEPTO_MR;1.0;E10;;P1;D13;386.802377;0.0011185254
E08.P1.D13;Depto 13;DEPTO;DEPTO_MR;1.0;E08;;P1;D13;386.802377;0.0011185254
E13.P4.D41;Depto 41;DEPTO;DEPTO_TIPO;1.0;E13;;P4;D41;361.085608;0.0010441596
E13.P4.D44;Depto 44;DEPTO;DEPTO_TIPO;1.0;E13;;P4;D44;361.085608;0.0010441596
E13.P4.D42;Depto 42;DEPTO;DEPTO_TIPO;1.0;E13;;P4;D42;361.085608;0.0010441596
E13.P3.D34;Depto 34;DEPTO;DEPTO_TIPO;1.0;E13;;P3;D34;361.085608;0.0010441596
E13.P3.D33;Depto 33;DEPTO;DEPTO_TIPO;1.0;E13;;P3;D33;361.085608;0.0010441596
E13.P1.D12;Depto 12;DEPTO;DEPTO_TIPO;1.0;E13;;P1;D12;361.085608;0.0010441596
E13.P1.D14;Depto 14;DEPTO;DEPTO_TIPO;1.0;E13;;P1;D14;361.085608;0.0010441596
E13.P2.D21;Depto 21;DEPTO;DEPTO_TIPO;1.0;E13;;P2;D21;361.085608;0.0010441596
E13.P2.D22;Depto 22;DEPTO;DEPTO_TIPO;1.0;E13;;P2;D22;361.085608;0.0010441596
E13.P2.D23;Depto 23;DEPTO;DEPTO_TIPO;1.0;E13;;P2;D23;361.085608;0.0010441596
E13.P2.D24;Depto 24;DEPTO;DEPTO_TIPO;1.0;E13;;P2;D24;361.085608;0.0010441596
E13.P3.D31;Depto 31;DEPTO;DEPTO_TIPO;1.0;E13;;P3;D31;361.085608;0.0010441596
E13.P3.D32;Depto 32;DEPTO;DEPTO_TIPO;1.0;E13;;P3;D32;361.085608;0.0010441596
E13.P1.D11;Depto 11;DEPTO;DEPTO_TIPO;1.0;E13;;P1;D11;361.085608;0.0010441596
E14.P0.D01;Depto 01;DEPTO;DEPTO_TIPO;1.0;E14;;P0;D01;361.085608;0.0010441596
E14.P0.D02;Depto 02;DEPTO;DEPTO_TIPO;1.0;E14;;P0;D02;361.085608;0.0010441596
E14.P3.D34;Depto 34;DEPTO;DEPTO_TIPO;1.0;E14;;P3;D34;361.085608;0.0010441596
E14.P4.D41;Depto 41;DEPTO;DEPTO_TIPO;1.0;E14;;P4;D41;361.085608;0.0010441596
E14.P4.D42;Depto 42;DEPTO;DEPTO_TIPO;1.0;E14;;P4;D42;361.085608;0.0010441596
E14.P4.D43;Depto 43;DEPTO;DEPTO_TIPO;1.0;E14;;P4;D43;361.085608;0.0010441596
E14.P4.D44;Depto 44;DEPTO;DEPTO_TIPO;1.0;E14;;P4;D44;361.085608;0.0010441596
E15.P0.D01;Depto 01;DEPTO;DEPTO_TIPO;1.0;E15;;P0;D01;361.085608;0.0010441596
E20.P4.D43;Depto 43;DEPTO;DEPTO_TIPO;1.0;E20;;P4;D43;361.085608;0.0010441596
E15.P1.D11;Depto 11;DEPTO;DEPTO_TIPO;1.0;E15;;P1;D11;361.085608;0.0010441596
E15.P1.D12;Depto 12;DEPTO;DEPTO_TIPO;1.0;E15;;P1;D12;361.085608;0.0010441596
E14.P3.D33;Depto 33;DEPTO;DEPTO_TIPO;1.0;E14;;P3;D33;361.085608;0.0010441596
E14.P3.D32;Depto 32;DEPTO;DEPTO_TIPO;1.0;E14;;P3;D32;361.085608;0.0010441596
E14.P1.D11;Depto 11;DEPTO;DEPTO_TIPO;1.0;E14;;P1;D11;361.085608;0.0010441596
E14.P1.D12;Depto 12;DEPTO;DEPTO_TIPO;1.0;E14;;P1;D12;361.085608;0.0010441596
E14.P1.D14;Depto 14;DEPTO;DEPTO_TIPO;1.0;E14;;P1;D14;361.085608;0.0010441596
E14.P2.D21;Depto 21;DEPTO;DEPTO_TIPO;1.0;E14;;P2;D21;361.085608;0.0010441596
E14.P2.D22;Depto 22;DEPTO;DEPTO_TIPO;1.0;E14;;P2;D22;361.085608;0.0010441596
E14.P2.D23;Depto 23;DEPTO;DEPTO_TIPO;1.0;E14;;P2;D23;361.085608;0.0010441596
E14.P2.D24;Depto 24;DEPTO;DEPTO_TIPO;1.0;E14;;P2;D24;361.085608;0.0010441596
E14.P3.D31;Depto 31;DEPTO;DEPTO_TIPO;1.0;E14;;P3;D31;361.085608;0.0010441596
E13.P4.D43;Depto 43;DEPTO;DEPTO_TIPO;1.0;E13;;P4;D43;361.085608;0.0010441596
