ELEMENTO_ID;DSC;TIPO;CONTEXTO;PORC_APL;EDIFICIO;NIVEL;PISO;DEPTO;COSTO;COSTO_PORC
E01;Edificio 1;EDIFICIO;EDIF_B;1.0;E01;;;;803.560000;0.0023236731
E01.F;Relleno Estructural;NIVEL;;0.0;E01;;;;23.641746;0.0000683654
E01.F0.C1;Capa 1 Nivel 0;NIVEL;NIVEL;0.5;E01;N0;;;64.045667;0.0001852023
E01.F0.C2;Capa 2 Nivel 0;NIVEL;NIVEL;0.5;E01;N0;;;64.045667;0.0001852023
E01.F0.C3;Capa 3 Nivel 0;NIVEL;NIVEL;0.5;E01;N0;;;64.045667;0.0001852023
E01.F0.C4;Capa 4 Nivel 0;NIVEL;NIVEL;0.5;E01;N0;;;64.045667;0.0001852023
E01.F0.C5;Capa 5 Nivel 0;NIVEL;NIVEL;0.5;E01;N0;;;64.045667;0.0001852023
E01.F0.C6;Capa 6 Nivel 0;NIVEL;NIVEL;0.5;E01;N0;;;64.045667;0.0001852023
E01.F1.C1;Capa 1 Nivel 1;NIVEL;NIVEL;0.5;E01;N1;;;64.045667;0.0001852023
E01.F1.C2;Capa 2 Nivel 1;NIVEL;NIVEL;0.5;E01;N1;;;64.045667;0.0001852023
E01.F1.C3;Capa 3 Nivel 1;NIVEL;NIVEL;0.5;E01;N1;;;64.045667;0.0001852023
E01.F1.C4;Capa 4 Nivel 1;NIVEL;NIVEL;0.5;E01;N1;;;64.045667;0.0001852023
E01.F1.C5;Capa 5 Nivel 1;NIVEL;NIVEL;0.5;E01;N1;;;64.045667;0.0001852023
E01.F1.C6;Capa 6 Nivel 1;NIVEL;NIVEL;0.5;E01;N1;;;64.045667;0.0001852023
E01.L;Losa Fundacion;LOSA;;0.0;E01;;;;23.641746;0.0000683654
E01.L0;Losa Fundacion nvl0;LOSA;LOSA;0.5;E01;;P0;;745.668500;0.0021562669
E01.L1;Losa Fundacion nvl1;LOSA;LOSA;0.5;E01;;P1;;745.668500;0.0021562669
E01.P;Pisos;PISO;;0.0;E01;;;;23.641746;0.0000683654
E01.P0;Piso 0;PISO;;0.0;E01;;P0;;23.641746;0.0000683654
E01.P0.C1;Piso 0;PISO;PISO0;0.25;E01;;P0;;282.735685;0.0008175934
