"ID_S";"ID";"TIPO";"COSTO"
"O.E";"E";"R";"262175.590210"
"O.E.01";;;"14041.140881"
"O.E.01.L";"E01.L";"C";"1491.337000"
"O.E.01.L.0";"E01.L0";"R";"745.668500"
"O.E.01.L.1";"E01.L1";"R";"745.668500"
"O.E.01.N";"E01.N";"C";"768.548004"
"O.E.01.N.0";"E01.N0";"R";"384.274002"
"O.E.01.N.0.C";"E01.N0.C";"C";"384.274002"
"O.E.01.N.0.C.1";"E01.N0.C1";"H";"64.045667"
"O.E.01.N.0.C.2";"E01.N0.C2";"H";"64.045667"
"O.E.01.N.0.C.3";"E01.N0.C3";"H";"64.045667"
"O.E.01.N.0.C.4";"E01.N0.C4";"H";"64.045667"
"O.E.01.N.0.C.5";"E01.N0.C5";"H";"64.045667"
"O.E.01.N.0.C.6";"E01.N0.C6";"H";"64.045667"
"O.E.01.N.1";"E01.N1";"R";"384.274002"
"O.E.01.N.1.C";"E01.N1.C";"C";"384.274002"
"O.E.01.N.1.C.1";"E01.N1.C1";"H";"64.045667"
"O.E.01.N.1.C.2";"E01.N1.C2";"H";"64.045667"
"O.E.01.N.1.C.3";"E01.N1.C3";"H";"64.045667"
"O.E.01.N.1.C.4";"E01.N1.C4";"H";"64.045667"
"O.E.01.N.1.C.5";"E01.N1.C5";"H";"64.045667"
"O.E.01.N.1.C.6";"E01.N1.C6";"H";"64.045667"
"O.E.01.P";"E01.P";"C";"10977.695877"
"O.E.01.P.0";"E01.P0";"R";"1237.444365"
"O.E.01.P.0.D";"E01.P0.D";"C";"722.171216"
"O.E.01.P.0.D.01";"E01.P0.D01";"H";"361.085608"
"O.E.01.P.0.D.02";"E01.P0.D02";"H";"361.085608"
"O.E.01.P.1";"E01.P1";"R";"2409.729663"
"O.E.01.P.1.D";"E01.P1.D";"C";"1463.913201"
"O.E.01.P.1.D.11";"E01.P1.D11";"H";"361.085608"
"O.E.01.P.1.D.12";"E01.P1.D12";"H";"361.085608"
"O.E.01.P.1.D.13";"E01.P1.D13";"H";"380.656377"
"O.E.01.P.1.D.14";"E01.P1.D14";"H";"361.085608"
"O.E.01.P.2";"E01.P2";"R";"2443.507283"
"O.E.01.P.2.D";"E01.P2.D";"C";"1444.342432"
"O.E.01.P.2.D.21";"E01.P2.D21";"H";"361.085608"
"O.E.01.P.2.D.22";"E01.P2.D22";"H";"361.085608"
"O.E.01.P.2.D.23";"E01.P2.D23";"H";"361.085608"
"O.E.01.P.2.D.24";"E01.P2.D24";"H";"361.085608"
"O.E.01.P.3";"E01.P3";"R";"2082.421675"
"O.E.01.P.3.D";"E01.P3.D";"C";"1083.256824"
"O.E.01.P.3.D.31";"E01.P3.D31";"H";"361.085608"
"O.E.01.P.3.D.32";"E01.P3.D32";"H";"361.085608"
"O.E.01.P.3.D.33";"E01.P3.D33";"H";"361.085608"
"O.E.01.P.4";"E01.P4";"R";"2804.592891"
"O.E.01.P.4.D";"E01.P4.D";"C";"1805.428040"
"O.E.01.P.4.D.34";"E01.P4.D34";"H";"361.085608"
"O.E.01.P.4.D.41";"E01.P4.D41";"H";"361.085608"
"O.E.01.P.4.D.42";"E01.P4.D42";"H";"361.085608"
"O.E.01.P.4.D.43";"E01.P4.D43";"H";"361.085608"
"O.E.01.P.4.D.44";"E01.P4.D44";"H";"361.085608"
"O.E.02";;;"12803.696510"
"O.E.02.L";"E02.L";"C";"1491.337000"
"O.E.02.L.1";"E02.L1";"R";"1491.337000"
"O.E.02.N";"E02.N";"C";"768.547998"
"O.E.02.N.1";"E02.N1";"R";"768.547998"
"O.E.02.N.1.C";"E02.N1.C";"C";"768.547998"
"O.E.02.N.1.C.1";"E02.N1.C1";"H";"128.091333"
"O.E.02.N.1.C.2";"E02.N1.C2";"H";"128.091333"
"O.E.02.N.1.C.3";"E02.N1.C3";"H";"128.091333"
"O.E.02.N.1.C.4";"E02.N1.C4";"H";"128.091333"
"O.E.02.N.1.C.5";"E02.N1.C5";"H";"128.091333"
"O.E.02.N.1.C.6";"E02.N1.C6";"H";"128.091333"
"O.E.02.P";"E02.P";"C";"9740.251512"
"O.E.02.P.1";"E02.P1";"R";"2409.729663"
"O.E.02.P.1.D";"E02.P1.D";"C";"1463.913201"
"O.E.02.P.1.D.11";"E02.P1.D11";"H";"361.085608"
"O.E.02.P.1.D.12";"E02.P1.D12";"H";"361.085608"
"O.E.02.P.1.D.13";"E02.P1.D13";"H";"380.656377"
"O.E.02.P.1.D.14";"E02.P1.D14";"H";"361.085608"
"O.E.02.P.2";"E02.P2";"R";"2443.507283"
"O.E.02.P.2.D";"E02.P2.D";"C";"1444.342432"
"O.E.02.P.2.D.21";"E02.P2.D21";"H";"361.085608"
"O.E.02.P.2.D.22";"E02.P2.D22";"H";"361.085608"
"O.E.02.P.2.D.23";"E02.P2.D23";"H";"361.085608"
"O.E.02.P.2.D.24";"E02.P2.D24";"H";"361.085608"
"O.E.02.P.3";"E02.P3";"R";"2082.421675"
"O.E.02.P.3.D";"E02.P3.D";"C";"1083.256824"
"O.E.02.P.3.D.31";"E02.P3.D31";"H";"361.085608"
"O.E.02.P.3.D.32";"E02.P3.D32";"H";"361.085608"
"O.E.02.P.3.D.33";"E02.P3.D33";"H";"361.085608"
"O.E.02.P.4";"E02.P4";"H";"2804.592891"
"O.E.02.P.4.D";"E02.P4.D";"R";"1805.428040"
"O.E.02.P.4.D.34";"E02.P4.D34";"C";"361.085608"
"O.E.02.P.4.D.41";"E02.P4.D41";"H";"361.085608"
"O.E.02.P.4.D.42";"E02.P4.D42";"H";"361.085608"
"O.E.02.P.4.D.43";"E02.P4.D43";"H";"361.085608"
"O.E.02.P.4.D.44";"E02.P4.D44";"H";"361.085608"
"O.E.03";;;"12803.696510"
"O.E.03.L";"E03.L";"C";"1491.337000"
"O.E.03.L.1";"E03.L1";"R";"1491.337000"
"O.E.03.N";"E03.N";"C";"768.547998"
"O.E.03.N.1";"E03.N1";"R";"768.547998"
"O.E.03.N.1.C";"E03.N1.C";"C";"768.547998"
"O.E.03.N.1.C.1";"E03.N1.C1";"H";"128.091333"
"O.E.03.N.1.C.2";"E03.N1.C2";"H";"128.091333"
"O.E.03.N.1.C.3";"E03.N1.C3";"H";"128.091333"
"O.E.03.N.1.C.4";"E03.N1.C4";"H";"128.091333"
"O.E.03.N.1.C.5";"E03.N1.C5";"H";"128.091333"
"O.E.03.N.1.C.6";"E03.N1.C6";"H";"128.091333"
"O.E.03.P";"E03.P";"C";"9740.251512"
"O.E.03.P.1";"E03.P1";"R";"2409.729663"
"O.E.03.P.1.D";"E03.P1.D";"C";"1463.913201"
"O.E.03.P.1.D.11";"E03.P1.D11";"H";"361.085608"
"O.E.03.P.1.D.12";"E03.P1.D12";"H";"361.085608"
"O.E.03.P.1.D.13";"E03.P1.D13";"H";"380.656377"
"O.E.03.P.1.D.14";"E03.P1.D14";"H";"361.085608"
"O.E.03.P.2";"E03.P2";"R";"2443.507283"
"O.E.03.P.2.D";"E03.P2.D";"C";"1444.342432"
"O.E.03.P.2.D.21";"E03.P2.D21";"H";"361.085608"
"O.E.03.P.2.D.22";"E03.P2.D22";"H";"361.085608"
"O.E.03.P.2.D.23";"E03.P2.D23";"H";"361.085608"
"O.E.03.P.2.D.24";"E03.P2.D24";"H";"361.085608"
"O.E.03.P.3";"E03.P3";"R";"2082.421675"
"O.E.03.P.3.D";"E03.P3.D";"C";"1083.256824"
"O.E.03.P.3.D.31";"E03.P3.D31";"H";"361.085608"
"O.E.03.P.3.D.32";"E03.P3.D32";"H";"361.085608"
"O.E.03.P.3.D.33";"E03.P3.D33";"H";"361.085608"
"O.E.03.P.4";"E03.P4";"H";"2804.592891"
"O.E.03.P.4.D";"E03.P4.D";"R";"1805.428040"
"O.E.03.P.4.D.34";"E03.P4.D34";"C";"361.085608"
"O.E.03.P.4.D.41";"E03.P4.D41";"H";"361.085608"
"O.E.03.P.4.D.42";"E03.P4.D42";"H";"361.085608"
"O.E.03.P.4.D.43";"E03.P4.D43";"H";"361.085608"
"O.E.03.P.4.D.44";"E03.P4.D44";"H";"361.085608"
"O.E.04";;;"12803.696510"
"O.E.04.L";"E04.L";"C";"1491.337000"
"O.E.04.L.1";"E04.L1";"R";"1491.337000"
"O.E.04.N";"E04.N";"C";"768.547998"
"O.E.04.N.1";"E04.N1";"R";"768.547998"
"O.E.04.N.1.C";"E04.N1.C";"C";"768.547998"
"O.E.04.N.1.C.1";"E04.N1.C1";"H";"128.091333"
"O.E.04.N.1.C.2";"E04.N1.C2";"H";"128.091333"
"O.E.04.N.1.C.3";"E04.N1.C3";"H";"128.091333"
"O.E.04.N.1.C.4";"E04.N1.C4";"H";"128.091333"
"O.E.04.N.1.C.5";"E04.N1.C5";"H";"128.091333"
"O.E.04.N.1.C.6";"E04.N1.C6";"H";"128.091333"
"O.E.04.P";"E04.P";"C";"9740.251512"
"O.E.04.P.1";"E04.P1";"R";"2409.729663"
"O.E.04.P.1.D";"E04.P1.D";"C";"1463.913201"
"O.E.04.P.1.D.11";"E04.P1.D11";"H";"361.085608"
"O.E.04.P.1.D.12";"E04.P1.D12";"H";"361.085608"
"O.E.04.P.1.D.13";"E04.P1.D13";"H";"380.656377"
"O.E.04.P.1.D.14";"E04.P1.D14";"H";"361.085608"
"O.E.04.P.2";"E04.P2";"R";"2443.507283"
"O.E.04.P.2.D";"E04.P2.D";"C";"1444.342432"
"O.E.04.P.2.D.21";"E04.P2.D21";"H";"361.085608"
"O.E.04.P.2.D.22";"E04.P2.D22";"H";"361.085608"
"O.E.04.P.2.D.23";"E04.P2.D23";"H";"361.085608"
"O.E.04.P.2.D.24";"E04.P2.D24";"H";"361.085608"
"O.E.04.P.3";"E04.P3";"R";"2082.421675"
"O.E.04.P.3.D";"E04.P3.D";"C";"1083.256824"
"O.E.04.P.3.D.31";"E04.P3.D31";"H";"361.085608"
"O.E.04.P.3.D.32";"E04.P3.D32";"H";"361.085608"
"O.E.04.P.3.D.33";"E04.P3.D33";"H";"361.085608"
"O.E.04.P.4";"E04.P4";"H";"2804.592891"
"O.E.04.P.4.D";"E04.P4.D";"R";"1805.428040"
"O.E.04.P.4.D.34";"E04.P4.D34";"C";"361.085608"
"O.E.04.P.4.D.41";"E04.P4.D41";"H";"361.085608"
"O.E.04.P.4.D.42";"E04.P4.D42";"H";"361.085608"
"O.E.04.P.4.D.43";"E04.P4.D43";"H";"361.085608"
"O.E.04.P.4.D.44";"E04.P4.D44";"H";"361.085608"
"O.E.05";;;"12803.696510"
"O.E.05.L";"E05.L";"C";"1491.337000"
"O.E.05.L.1";"E05.L1";"R";"1491.337000"
"O.E.05.N";"E05.N";"C";"768.547998"
"O.E.05.N.1";"E05.N1";"R";"768.547998"
"O.E.05.N.1.C";"E05.N1.C";"C";"768.547998"
"O.E.05.N.1.C.1";"E05.N1.C1";"H";"128.091333"
"O.E.05.N.1.C.2";"E05.N1.C2";"H";"128.091333"
"O.E.05.N.1.C.3";"E05.N1.C3";"H";"128.091333"
"O.E.05.N.1.C.4";"E05.N1.C4";"H";"128.091333"
"O.E.05.N.1.C.5";"E05.N1.C5";"H";"128.091333"
"O.E.05.N.1.C.6";"E05.N1.C6";"H";"128.091333"
"O.E.05.P";"E05.P";"C";"9740.251512"
"O.E.05.P.1";"E05.P1";"R";"2409.729663"
"O.E.05.P.1.D";"E05.P1.D";"C";"1463.913201"
"O.E.05.P.1.D.11";"E05.P1.D11";"H";"361.085608"
"O.E.05.P.1.D.12";"E05.P1.D12";"H";"361.085608"
"O.E.05.P.1.D.13";"E05.P1.D13";"H";"380.656377"
"O.E.05.P.1.D.14";"E05.P1.D14";"H";"361.085608"
"O.E.05.P.2";"E05.P2";"R";"2443.507283"
