ID.S;ID;TIPO;COSTO
O;;R;345814.561
O.E;E;R;262175.590210
O.E.01;;R;14041.140881
O.E.01.G;;R;14041.140881
O.E.01.G.d;E01;R;14041.140881
O.E.01.L;E01.L;R;1491.337000
O.E.01.L.0;;R;745.668500
O.E.01.L.0.d;E01.L0;H;745.668500
O.E.01.L.1;;R;745.668500
O.E.01.L.1.d;E01.L1;H;745.668500
O.E.01.N;E01.N;R;768.548004
O.E.01.N.0;E01.N0;R;384.274002
O.E.01.N.0.C;E01.N0.C;R;384.274002
O.E.01.N.0.C.1;E01.N0.C1;H;64.045667
O.E.01.N.0.C.2;E01.N0.C2;H;64.045667
O.E.01.N.0.C.3;E01.N0.C3;H;64.045667
O.E.01.N.0.C.4;E01.N0.C4;H;64.045667
O.E.01.N.0.C.5;E01.N0.C5;H;64.045667
O.E.01.N.0.C.6;E01.N0.C6;H;64.045667
O.E.01.N.1;E01.N1;R;384.274002
O.E.01.N.1.C;E01.N1.C;R;384.274002
O.E.01.N.1.C.1;E01.N1.C1;H;64.045667
O.E.01.N.1.C.2;E01.N1.C2;H;64.045667
O.E.01.N.1.C.3;E01.N1.C3;H;64.045667
O.E.01.N.1.C.4;E01.N1.C4;H;64.045667
O.E.01.N.1.C.5;E01.N1.C5;H;64.045667
O.E.01.N.1.C.6;E01.N1.C6;H;64.045667
O.E.01.P;E01.P;R;10977.695877
O.E.01.P.0;;R;1237.444365
O.E.01.P.0.D;E01.P0.D;R;722.171216
O.E.01.P.0.D.01;;R;361.085608
O.E.01.P.0.D.01.d;E01.P0.D01;H;361.085608
O.E.01.P.0.D.02;;R;361.085608
O.E.01.P.0.D.02.d;E01.P0.D02;H;361.085608
O.E.01.P.0.G;;R;1237.444365
O.E.01.P.0.G.d;E01.P0;H;1237.444365
O.E.01.P.1;;R;2409.729663
O.E.01.P.1.D;E01.P1.D;R;1463.913201
O.E.01.P.1.D.11;;R;361.085608
O.E.01.P.1.D.11.d;E01.P1.D11;H;361.085608
O.E.01.P.1.D.12;;R;361.085608
O.E.01.P.1.D.12.d;E01.P1.D12;H;361.085608
O.E.01.P.1.D.13;;R;380.656377
O.E.01.P.1.D.13.d;E01.P1.D13;H;380.656377
O.E.01.P.1.D.14;;R;361.085608
O.E.01.P.1.D.14.d;E01.P1.D14;H;361.085608
O.E.01.P.1.G;;R;2409.729663
O.E.01.P.1.G.d;E01.P1;H;2409.729663
O.E.01.P.2;;R;2443.507283
O.E.01.P.2.D;E01.P2.D;R;1444.342432
O.E.01.P.2.D.21;;R;361.085608
O.E.01.P.2.D.21.d;E01.P2.D21;H;361.085608
O.E.01.P.2.D.22;;R;361.085608
O.E.01.P.2.D.22.d;E01.P2.D22;H;361.085608
O.E.01.P.2.D.23;;R;361.085608
O.E.01.P.2.D.23.d;E01.P2.D23;H;361.085608
O.E.01.P.2.D.24;;R;361.085608
O.E.01.P.2.D.24.d;E01.P2.D24;H;361.085608
O.E.01.P.2.G;;R;2443.507283
O.E.01.P.2.G.d;E01.P2;H;2443.507283
O.E.01.P.3;;H;2082.421675
O.E.01.P.3.D;E01.P3.D;H;1083.256824
O.E.01.P.3.D.31;;H;361.085608
O.E.01.P.3.D.31.d;E01.P3.D31;H;361.085608
O.E.01.P.3.D.32;;H;361.085608
O.E.01.P.3.D.32.d;E01.P3.D32;H;361.085608
O.E.01.P.3.D.33;;H;361.085608
O.E.01.P.3.D.33.d;E01.P3.D33;H;361.085608
O.E.01.P.3.D.34;;H;361.085608
O.E.01.P.3.D.34.d;E01.P3.D34;H;361.085608
O.E.01.P.3.G;;H;2082.421675
O.E.01.P.3.G.d;E01.P3;H;2082.421675
O.E.01.P.4;;H;2804.592891
O.E.01.P.4.D;E01.P4.D;H;1805.428040
O.E.01.P.4.D.41;;H;361.085608
O.E.01.P.4.D.41.d;E01.P4.D41;H;361.085608
O.E.01.P.4.D.42;;H;361.085608
O.E.01.P.4.D.42.d;E01.P4.D42;H;361.085608
O.E.01.P.4.D.43;;H;361.085608
O.E.01.P.4.D.43.d;E01.P4.D43;H;361.085608
O.E.01.P.4.D.44;;H;361.085608
O.E.01.P.4.D.44.d;E01.P4.D44;H;361.085608
O.E.01.P.4.G;;H;2804.592891
O.E.01.P.4.G.d;E01.P4;H;2804.592891
O.E.02;;H;12803.696510
O.E.02.G;;H;12803.696510
O.E.02.G.d;E02;H;12803.696510
O.E.02.L;E02.L;H;1491.337000
O.E.02.L.1;;H;1491.337000
O.E.02.L.1.d;E02.L1;H;1491.337000
O.E.02.N;E02.N;H;768.547998
O.E.02.N.1;E02.N1;H;768.547998
O.E.02.N.1.C;E02.N1.C;H;768.547998
O.E.02.N.1.C.1;E02.N1.C1;H;128.091333
O.E.02.N.1.C.2;E02.N1.C2;H;128.091333
O.E.02.N.1.C.3;E02.N1.C3;H;128.091333
O.E.02.N.1.C.4;E02.N1.C4;H;128.091333
O.E.02.N.1.C.5;E02.N1.C5;H;128.091333
O.E.02.N.1.C.6;E02.N1.C6;H;128.091333
O.E.02.P;E02.P;H;9740.251512
O.E.02.P.1;;H;2409.729663
O.E.02.P.1.D;E02.P1.D;H;1463.913201
O.E.02.P.1.D.11;;H;361.085608
O.E.02.P.1.D.11.d;E02.P1.D11;H;361.085608
O.E.02.P.1.D.12;;H;361.085608
O.E.02.P.1.D.12.d;E02.P1.D12;H;361.085608
O.E.02.P.1.D.13;;H;380.656377
O.E.02.P.1.D.13.d;E02.P1.D13;H;380.656377
O.E.02.P.1.D.14;;H;361.085608
O.E.02.P.1.D.14.d;E02.P1.D14;H;361.085608
O.E.02.P.1.G;;H;2409.729663
O.E.02.P.1.G.d;E02.P1;H;2409.729663
O.E.02.P.2;;H;2443.507283
O.E.02.P.2.D;E02.P2.D;H;1444.342432
O.E.02.P.2.D.21;;H;361.085608
O.E.02.P.2.D.21.d;E02.P2.D21;H;361.085608
O.E.02.P.2.D.22;;H;361.085608
O.E.02.P.2.D.22.d;E02.P2.D22;H;361.085608
O.E.02.P.2.D.23;;H;361.085608
O.E.02.P.2.D.23.d;E02.P2.D23;H;361.085608
