FECHA;ITEM;I1;I2;ELEMENTO.ID;E1;PORC.AVANCE;MONTO.AVANCE;ESTA;OBS
2021-01-22;A.1.1;A;A.1;L;L;0.75;1337.3700;;
2021-01-22;A.1.2;A;A.1;L;L;0.60;296.9400;;
2021-01-22;A.1.4;A;A.1;L;L;0.80;367.9040;;
2021-01-22;A.2.1;A;A.2;L;L;1.00;53.6200;;
2021-01-22;A.2.3;A;A.2;L;L;0.65;2580.2660;;
2021-01-22;A.3.1.1;A;A.3;E01;E01;0.50;0.4140;;
2021-01-22;A.3.1.1;A;A.3;E02;E02;0.50;0.4140;;
2021-01-22;A.3.1.1;A;A.3;E03;E03;0.50;0.4140;;
2021-01-22;A.3.1.1;A;A.3;E04;E04;1.00;0.8280;;
2021-01-22;A.3.1.1;A;A.3;E05;E05;1.00;0.8280;;
2021-01-22;A.3.1.1;A;A.3;E06;E06;1.00;0.8280;;
2021-01-22;A.3.1.1;A;A.3;E07;E07;1.00;0.8280;;
2021-01-22;A.3.1.1;A;A.3;E08;E08;1.00;0.8280;;
2021-01-22;A.3.1.1;A;A.3;E09;E09;1.00;0.8280;;
2021-01-22;A.3.1.1;A;A.3;E10;E10;1.00;0.8280;;
2021-01-22;A.3.1.1;A;A.3;E11;E11;1.00;0.8280;;
2021-01-22;A.3.1.1;A;A.3;E12;E12;1.00;0.8280;;
2021-01-22;A.3.1.1;A;A.3;E13;E13;0.50;0.4140;;
2021-01-22;A.3.1.1;A;A.3;E14;E14;0.50;0.4140;;
2021-01-22;A.3.1.1;A;A.3;E15;E15;0.00;0.0000;;
2021-01-22;A.3.1.1;A;A.3;E16;E16;0.50;0.4140;;
2021-01-22;A.3.1.1;A;A.3;E17;E17;0.50;0.4140;;
2021-01-22;A.3.1.1;A;A.3;E18;E18;1.00;0.8280;;
2021-01-22;A.3.1.1;A;A.3;E19;E19;0.50;0.4140;;
2021-01-22;A.3.1.1;A;A.3;E20;E20;1.00;0.8280;;
2021-01-22;A.3.1.2;A;A.3;E01;E01;0.50;0.1200;;
2021-01-22;A.3.1.2;A;A.3;E02;E02;0.50;0.1200;;
2021-01-22;A.3.1.2;A;A.3;E03;E03;0.50;0.1200;;
2021-01-22;A.3.1.2;A;A.3;E04;E04;1.00;0.2400;;
2021-01-22;A.3.1.2;A;A.3;E05;E05;1.00;0.2400;;
2021-01-22;A.3.1.2;A;A.3;E06;E06;1.00;0.2400;;
2021-01-22;A.3.1.2;A;A.3;E07;E07;1.00;0.2400;;
2021-01-22;A.3.1.2;A;A.3;E08;E08;1.00;0.2400;;
2021-01-22;A.3.1.2;A;A.3;E09;E09;1.00;0.2400;;
2021-01-22;A.3.1.2;A;A.3;E10;E10;1.00;0.2400;;
2021-01-22;A.3.1.2;A;A.3;E11;E11;1.00;0.2400;;
2021-01-22;A.3.1.2;A;A.3;E12;E12;1.00;0.2400;;
2021-01-22;A.3.1.2;A;A.3;E13;E13;0.50;0.1200;;
2021-01-22;A.3.1.2;A;A.3;E14;E14;0.50;0.1200;;
2021-01-22;A.3.1.2;A;A.3;E15;E15;0.00;0.0000;;
2021-01-22;A.3.1.2;A;A.3;E16;E16;0.50;0.1200;;
2021-01-22;A.3.1.2;A;A.3;E17;E17;0.50;0.1200;;
2021-01-22;A.3.1.2;A;A.3;E18;E18;1.00;0.2400;;
2021-01-22;A.3.1.2;A;A.3;E19;E19;0.50;0.1200;;
2021-01-22;A.3.1.2;A;A.3;E20;E20;1.00;0.2400;;
2021-01-22;A.3.1.3;A;A.3;E01;E01;0.50;0.1250;;
2021-01-22;A.3.1.3;A;A.3;E02;E02;0.50;0.1250;;
2021-01-22;A.3.1.3;A;A.3;E03;E03;0.50;0.1250;;
2021-01-22;A.3.1.3;A;A.3;E04;E04;1.00;0.2500;;
2021-01-22;A.3.1.3;A;A.3;E05;E05;1.00;0.2500;;
2021-01-22;A.3.1.3;A;A.3;E06;E06;1.00;0.2500;;
