"ITEM";"ELEMENTO_ID";"TOTAL_INF";"UNI_LINEA";"CNT_LINEA";"MONTO_LINEA";"REL_LINEAS";"REL_PORC_SUM";"REL_MONTO";"PORC_APL";"dsc_item";"dsc_elem"
"A.1.1";"L";"1783.160";;NULL;"1783.1600";"1";"1.00";"1783.160000";"1.0";"Construcciones provisorias";"Lote"
"A.1.2";"L";"494.900";;NULL;"494.9000";"1";"1.00";"494.900000";"1.0";"Empalmes y conexiones provisorias";"Lote"
"A.1.4";"L";"459.880";;NULL;"459.8800";"1";"1.00";"459.880000";"1.0";"Cierros provisorios";"Lote"
"A.2.1";"L";"53.620";;NULL;"53.6200";"1";"1.00";"53.620000";"1.0";"Letreros de obra";"Lote"
"A.2.2";"L";"2187.210";;NULL;"2187.2100";"1";"1.00";"2187.210000";"1.0";"Aseo y entrega";"Lote"
"A.2.3";"L";"3969.640";;NULL;"3969.6400";"1";"1.00";"3969.640000";"1.0";"Retiro de escombros";"Lote"
"A.3.1.1";"E01";"16.560";"20 edificios";NULL;"0.8280";"20";"20.00";"0.828000";"1.0";"Proctor";"Edificio 1"
"A.3.1.1";"E02";"16.560";"20 edificios";NULL;"0.8280";"20";"20.00";"0.828000";"1.0";"Proctor";"Edificio 2"
"A.3.1.1";"E03";"16.560";"20 edificios";NULL;"0.8280";"20";"20.00";"0.828000";"1.0";"Proctor";"Edificio 3"
"A.3.1.1";"E04";"16.560";"20 edificios";NULL;"0.8280";"20";"20.00";"0.828000";"1.0";"Proctor";"Edificio 4"
"A.3.1.1";"E05";"16.560";"20 edificios";NULL;"0.8280";"20";"20.00";"0.828000";"1.0";"Proctor";"Edificio 5"
"A.3.1.1";"E06";"16.560";"20 edificios";NULL;"0.8280";"20";"20.00";"0.828000";"1.0";"Proctor";"Edificio 6"
"A.3.1.1";"E07";"16.560";"20 edificios";NULL;"0.8280";"20";"20.00";"0.828000";"1.0";"Proctor";"Edificio 7"
"A.3.1.1";"E08";"16.560";"20 edificios";NULL;"0.8280";"20";"20.00";"0.828000";"1.0";"Proctor";"Edificio 8"
"A.3.1.1";"E09";"16.560";"20 edificios";NULL;"0.8280";"20";"20.00";"0.828000";"1.0";"Proctor";"Edificio 9"
"A.3.1.1";"E10";"16.560";"20 edificios";NULL;"0.8280";"20";"20.00";"0.828000";"1.0";"Proctor";"Edificio 10"
"A.3.1.1";"E11";"16.560";"20 edificios";NULL;"0.8280";"20";"20.00";"0.828000";"1.0";"Proctor";"Edificio 11"
"A.3.1.1";"E12";"16.560";"20 edificios";NULL;"0.8280";"20";"20.00";"0.828000";"1.0";"Proctor";"Edificio 12"
"A.3.1.1";"E13";"16.560";"20 edificios";NULL;"0.8280";"20";"20.00";"0.828000";"1.0";"Proctor";"Edificio 13"
"A.3.1.1";"E14";"16.560";"20 edificios";NULL;"0.8280";"20";"20.00";"0.828000";"1.0";"Proctor";"Edificio 14"
"A.3.1.1";"E15";"16.560";"20 edificios";NULL;"0.8280";"20";"20.00";"0.828000";"1.0";"Proctor";"Edificio 15"
"A.3.1.1";"E16";"16.560";"20 edificios";NULL;"0.8280";"20";"20.00";"0.828000";"1.0";"Proctor";"Edificio 16"
"A.3.1.1";"E17";"16.560";"20 edificios";NULL;"0.8280";"20";"20.00";"0.828000";"1.0";"Proctor";"Edificio 17"
"A.3.1.1";"E18";"16.560";"20 edificios";NULL;"0.8280";"20";"20.00";"0.828000";"1.0";"Proctor";"Edificio 18"
"A.3.1.1";"E19";"16.560";"20 edificios";NULL;"0.8280";"20";"20.00";"0.828000";"1.0";"Proctor";"Edificio 19"
"A.3.1.1";"E20";"16.560";"20 edificios";NULL;"0.8280";"20";"20.00";"0.828000";"1.0";"Proctor";"Edificio 20"
"A.3.1.2";"E01";"4.800";"20 edificios";NULL;"0.2400";"20";"20.00";"0.240000";"1.0";"CBR o Densidad relativa";"Edificio 1"
"A.3.1.2";"E02";"4.800";"20 edificios";NULL;"0.2400";"20";"20.00";"0.240000";"1.0";"CBR o Densidad relativa";"Edificio 2"
"A.3.1.2";"E03";"4.800";"20 edificios";NULL;"0.2400";"20";"20.00";"0.240000";"1.0";"CBR o Densidad relativa";"Edificio 3"
"A.3.1.2";"E04";"4.800";"20 edificios";NULL;"0.2400";"20";"20.00";"0.240000";"1.0";"CBR o Densidad relativa";"Edificio 4"
"A.3.1.2";"E05";"4.800";"20 edificios";NULL;"0.2400";"20";"20.00";"0.240000";"1.0";"CBR o Densidad relativa";"Edificio 5"
"A.3.1.2";"E06";"4.800";"20 edificios";NULL;"0.2400";"20";"20.00";"0.240000";"1.0";"CBR o Densidad relativa";"Edificio 6"
"A.3.1.2";"E07";"4.800";"20 edificios";NULL;"0.2400";"20";"20.00";"0.240000";"1.0";"CBR o Densidad relativa";"Edificio 7"
"A.3.1.2";"E08";"4.800";"20 edificios";NULL;"0.2400";"20";"20.00";"0.240000";"1.0";"CBR o Densidad relativa";"Edificio 8"
"A.3.1.2";"E09";"4.800";"20 edificios";NULL;"0.2400";"20";"20.00";"0.240000";"1.0";"CBR o Densidad relativa";"Edificio 9"
"A.3.1.2";"E10";"4.800";"20 edificios";NULL;"0.2400";"20";"20.00";"0.240000";"1.0";"CBR o Densidad relativa";"Edificio 10"
"A.3.1.2";"E11";"4.800";"20 edificios";NULL;"0.2400";"20";"20.00";"0.240000";"1.0";"CBR o Densidad relativa";"Edificio 11"
"A.3.1.2";"E12";"4.800";"20 edificios";NULL;"0.2400";"20";"20.00";"0.240000";"1.0";"CBR o Densidad relativa";"Edificio 12"
"A.3.1.2";"E13";"4.800";"20 edificios";NULL;"0.2400";"20";"20.00";"0.240000";"1.0";"CBR o Densidad relativa";"Edificio 13"
"A.3.1.2";"E14";"4.800";"20 edificios";NULL;"0.2400";"20";"20.00";"0.240000";"1.0";"CBR o Densidad relativa";"Edificio 14"
"A.3.1.2";"E15";"4.800";"20 edificios";NULL;"0.2400";"20";"20.00";"0.240000";"1.0";"CBR o Densidad relativa";"Edificio 15"
"A.3.1.2";"E16";"4.800";"20 edificios";NULL;"0.2400";"20";"20.00";"0.240000";"1.0";"CBR o Densidad relativa";"Edificio 16"
"A.3.1.2";"E17";"4.800";"20 edificios";NULL;"0.2400";"20";"20.00";"0.240000";"1.0";"CBR o Densidad relativa";"Edificio 17"
"A.3.1.2";"E18";"4.800";"20 edificios";NULL;"0.2400";"20";"20.00";"0.240000";"1.0";"CBR o Densidad relativa";"Edificio 18"
"A.3.1.2";"E19";"4.800";"20 edificios";NULL;"0.2400";"20";"20.00";"0.240000";"1.0";"CBR o Densidad relativa";"Edificio 19"
"A.3.1.2";"E20";"4.800";"20 edificios";NULL;"0.2400";"20";"20.00";"0.240000";"1.0";"CBR o Densidad relativa";"Edificio 20"
"A.3.1.3";"E01";"5.000";"20 edificios";NULL;"0.2500";"20";"20.00";"0.250000";"1.0";"Limites de Aterberg";"Edificio 1"
"A.3.1.3";"E02";"5.000";"20 edificios";NULL;"0.2500";"20";"20.00";"0.250000";"1.0";"Limites de Aterberg";"Edificio 2"
"A.3.1.3";"E03";"5.000";"20 edificios";NULL;"0.2500";"20";"20.00";"0.250000";"1.0";"Limites de Aterberg";"Edificio 3"
"A.3.1.3";"E04";"5.000";"20 edificios";NULL;"0.2500";"20";"20.00";"0.250000";"1.0";"Limites de Aterberg";"Edificio 4"
"A.3.1.3";"E05";"5.000";"20 edificios";NULL;"0.2500";"20";"20.00";"0.250000";"1.0";"Limites de Aterberg";"Edificio 5"
"A.3.1.3";"E06";"5.000";"20 edificios";NULL;"0.2500";"20";"20.00";"0.250000";"1.0";"Limites de Aterberg";"Edificio 6"
"A.3.1.3";"E07";"5.000";"20 edificios";NULL;"0.2500";"20";"20.00";"0.250000";"1.0";"Limites de Aterberg";"Edificio 7"
"A.3.1.3";"E08";"5.000";"20 edificios";NULL;"0.2500";"20";"20.00";"0.250000";"1.0";"Limites de Aterberg";"Edificio 8"
"A.3.1.3";"E09";"5.000";"20 edificios";NULL;"0.2500";"20";"20.00";"0.250000";"1.0";"Limites de Aterberg";"Edificio 9"
"A.3.1.3";"E10";"5.000";"20 edificios";NULL;"0.2500";"20";"20.00";"0.250000";"1.0";"Limites de Aterberg";"Edificio 10"
"A.3.1.3";"E11";"5.000";"20 edificios";NULL;"0.2500";"20";"20.00";"0.250000";"1.0";"Limites de Aterberg";"Edificio 11"
"A.3.1.3";"E12";"5.000";"20 edificios";NULL;"0.2500";"20";"20.00";"0.250000";"1.0";"Limites de Aterberg";"Edificio 12"
"A.3.1.3";"E13";"5.000";"20 edificios";NULL;"0.2500";"20";"20.00";"0.250000";"1.0";"Limites de Aterberg";"Edificio 13"
"A.3.1.3";"E14";"5.000";"20 edificios";NULL;"0.2500";"20";"20.00";"0.250000";"1.0";"Limites de Aterberg";"Edificio 14"
"A.3.1.3";"E15";"5.000";"20 edificios";NULL;"0.2500";"20";"20.00";"0.250000";"1.0";"Limites de Aterberg";"Edificio 15"
"A.3.1.3";"E16";"5.000";"20 edificios";NULL;"0.2500";"20";"20.00";"0.250000";"1.0";"Limites de Aterberg";"Edificio 16"
"A.3.1.3";"E17";"5.000";"20 edificios";NULL;"0.2500";"20";"20.00";"0.250000";"1.0";"Limites de Aterberg";"Edificio 17"
"A.3.1.3";"E18";"5.000";"20 edificios";NULL;"0.2500";"20";"20.00";"0.250000";"1.0";"Limites de Aterberg";"Edificio 18"
"A.3.1.3";"E19";"5.000";"20 edificios";NULL;"0.2500";"20";"20.00";"0.250000";"1.0";"Limites de Aterberg";"Edificio 19"
"A.3.1.3";"E20";"5.000";"20 edificios";NULL;"0.2500";"20";"20.00";"0.250000";"1.0";"Limites de Aterberg";"Edificio 20"
"A.3.1.4";"E01";"12.600";"20 edificios";NULL;"0.6300";"20";"20.00";"0.630000";"1.0";"Densidad maxima compactada seca";"Edificio 1"
"A.3.1.4";"E02";"12.600";"20 edificios";NULL;"0.6300";"20";"20.00";"0.630000";"1.0";"Densidad maxima compactada seca";"Edificio 2"
"A.3.1.4";"E03";"12.600";"20 edificios";NULL;"0.6300";"20";"20.00";"0.630000";"1.0";"Densidad maxima compactada seca";"Edificio 3"
"A.3.1.4";"E04";"12.600";"20 edificios";NULL;"0.6300";"20";"20.00";"0.630000";"1.0";"Densidad maxima compactada seca";"Edificio 4"
"A.3.1.4";"E05";"12.600";"20 edificios";NULL;"0.6300";"20";"20.00";"0.630000";"1.0";"Densidad maxima compactada seca";"Edificio 5"
"A.3.1.4";"E06";"12.600";"20 edificios";NULL;"0.6300";"20";"20.00";"0.630000";"1.0";"Densidad maxima compactada seca";"Edificio 6"
"A.3.1.4";"E07";"12.600";"20 edificios";NULL;"0.6300";"20";"20.00";"0.630000";"1.0";"Densidad maxima compactada seca";"Edificio 7"
"A.3.1.4";"E08";"12.600";"20 edificios";NULL;"0.6300";"20";"20.00";"0.630000";"1.0";"Densidad maxima compactada seca";"Edificio 8"
"A.3.1.4";"E09";"12.600";"20 edificios";NULL;"0.6300";"20";"20.00";"0.630000";"1.0";"Densidad maxima compactada seca";"Edificio 9"
"A.3.1.4";"E10";"12.600";"20 edificios";NULL;"0.6300";"20";"20.00";"0.630000";"1.0";"Densidad maxima compactada seca";"Edificio 10"
