EDIFICIO;PISO;NUMERO;UBIC;TIPO;PORC_APL
E01;0;01;;DEPTO_TIPO;1
E01;0;02;;DEPTO_TIPO;1
E01;1;11;;DEPTO_TIPO;1
E01;1;12;;DEPTO_TIPO;1
E01;1;13;;DEPTO_INV;1
E01;1;14;;DEPTO_TIPO;1
E01;2;21;;DEPTO_TIPO;1
E01;2;22;;DEPTO_TIPO;1
E01;2;23;;DEPTO_TIPO;1
E01;2;24;;DEPTO_TIPO;1
E01;3;31;;DEPTO_TIPO;1
E01;3;32;;DEPTO_TIPO;1
E01;3;33;;DEPTO_TIPO;1
E01;4;34;;DEPTO_TIPO;1
E01;4;41;;DEPTO_TIPO;1
E01;4;42;;DEPTO_TIPO;1
E01;4;43;;DEPTO_TIPO;1
E01;4;44;;DEPTO_TIPO;1
E02;1;11;;DEPTO_TIPO;1
E02;1;12;;DEPTO_TIPO;1
E02;1;13;;DEPTO_INV;1
E02;1;14;;DEPTO_TIPO;1
E02;2;21;;DEPTO_TIPO;1
E02;2;22;;DEPTO_TIPO;1
E02;2;23;;DEPTO_TIPO;1
E02;2;24;;DEPTO_TIPO;1
E02;3;31;;DEPTO_TIPO;1
E02;3;32;;DEPTO_TIPO;1
E02;3;33;;DEPTO_TIPO;1
E02;4;34;;DEPTO_TIPO;1
E02;4;41;;DEPTO_TIPO;1
E02;4;42;;DEPTO_TIPO;1
E02;4;43;;DEPTO_TIPO;1
E02;4;44;;DEPTO_TIPO;1
E03;1;11;;DEPTO_TIPO;1
E03;1;12;;DEPTO_TIPO;1
E03;1;13;;DEPTO_INV;1
E03;1;14;;DEPTO_TIPO;1
E03;2;21;;DEPTO_TIPO;1
E03;2;22;;DEPTO_TIPO;1
E03;2;23;;DEPTO_TIPO;1
E03;2;24;;DEPTO_TIPO;1
E03;3;31;;DEPTO_TIPO;1
E03;3;32;;DEPTO_TIPO;1
E03;3;33;;DEPTO_TIPO;1
E03;4;34;;DEPTO_TIPO;1
E03;4;41;;DEPTO_TIPO;1
E03;4;42;;DEPTO_TIPO;1
E03;4;43;;DEPTO_TIPO;1
E03;4;44;;DEPTO_TIPO;1
E04;1;11;;DEPTO_TIPO;1
E04;1;12;;DEPTO_TIPO;1
E04;1;13;;DEPTO_INV;1
E04;1;14;;DEPTO_TIPO;1
E04;2;21;;DEPTO_TIPO;1
E04;2;22;;DEPTO_TIPO;1
E04;2;23;;DEPTO_TIPO;1
E04;2;24;;DEPTO_TIPO;1
E04;3;31;;DEPTO_TIPO;1
E04;3;32;;DEPTO_TIPO;1
E04;3;33;;DEPTO_TIPO;1
E04;4;34;;DEPTO_TIPO;1
E04;4;41;;DEPTO_TIPO;1
E04;4;42;;DEPTO_TIPO;1
E04;4;43;;DEPTO_TIPO;1
E04;4;44;;DEPTO_TIPO;1
E05;1;11;;DEPTO_TIPO;1
E05;1;12;;DEPTO_TIPO;1
E05;1;13;;DEPTO_INV;1
E05;1;14;;DEPTO_TIPO;1
E05;2;21;;DEPTO_TIPO;1
E05;2;22;;DEPTO_TIPO;1
E05;2;23;;DEPTO_TIPO;1
E05;2;24;;DEPTO_TIPO;1
E05;3;31;;DEPTO_TIPO;1
E05;3;32;;DEPTO_TIPO;1
E05;3;33;;DEPTO_TIPO;1
E05;4;34;;DEPTO_TIPO;1
E05;4;41;;DEPTO_TIPO;1
E05;4;42;;DEPTO_TIPO;1
E05;4;43;;DEPTO_TIPO;1
E05;4;44;;DEPTO_TIPO;1
E06;1;11;;DEPTO_TIPO;1
E06;1;12;;DEPTO_TIPO;1
E06;1;13;;DEPTO_INV;1
E06;1;14;;DEPTO_TIPO;1
E06;2;21;;DEPTO_TIPO;1
E06;2;22;;DEPTO_TIPO;1
E06;2;23;;DEPTO_TIPO;1
E06;2;24;;DEPTO_TIPO;1
E06;3;31;;DEPTO_TIPO;1
E06;3;32;;DEPTO_TIPO;1
E06;3;33;;DEPTO_TIPO;1
E06;4;34;;DEPTO_TIPO;1
E06;4;41;;DEPTO_TIPO;1
E06;4;42;;DEPTO_TIPO;1
E06;4;43;;DEPTO_TIPO;1
E06;4;44;;DEPTO_TIPO;1
E07;1;11;;DEPTO_TIPO;1
E07;1;12;;DEPTO_TIPO;1
E07;1;13;;DEPTO_INV;1
E07;1;14;;DEPTO_TIPO;1
E07;2;21;;DEPTO_TIPO;1
E07;2;22;;DEPTO_TIPO;1
E07;2;23;;DEPTO_TIPO;1
E07;2;24;;DEPTO_TIPO;1
E07;3;31;;DEPTO_TIPO;1
E07;3;32;;DEPTO_TIPO;1
E07;3;33;;DEPTO_TIPO;1
E07;4;34;;DEPTO_TIPO;1
E07;4;41;;DEPTO_TIPO;1
E07;4;42;;DEPTO_TIPO;1
E07;4;43;;DEPTO_TIPO;1
E07;4;44;;DEPTO_TIPO;1
E08;1;11;;DEPTO_TIPO;1
E08;1;12;;DEPTO_TIPO;1
E08;1;13;;DEPTO_MR;1
E08;1;14;;DEPTO_TIPO;1
E08;2;21;;DEPTO_TIPO;1
E08;2;22;;DEPTO_TIPO;1
E08;2;23;;DEPTO_TIPO;1
E08;2;24;;DEPTO_TIPO;1
E08;3;31;;DEPTO_TIPO;1
E08;3;32;;DEPTO_TIPO;1
E08;3;33;;DEPTO_TIPO;1
E08;4;34;;DEPTO_TIPO;1
E08;4;41;;DEPTO_TIPO;1
E08;4;42;;DEPTO_TIPO;1
E08;4;43;;DEPTO_TIPO;1
E08;4;44;;DEPTO_TIPO;1
E09;1;11;;DEPTO_TIPO;1
E09;1;12;;DEPTO_TIPO;1
E09;1;13;;DEPTO_INV;1
E09;1;14;;DEPTO_TIPO;1
E09;2;21;;DEPTO_TIPO;1
E09;2;22;;DEPTO_TIPO;1
E09;2;23;;DEPTO_TIPO;1
E09;2;24;;DEPTO_TIPO;1
E09;3;31;;DEPTO_TIPO;1
E09;3;32;;DEPTO_TIPO;1
E09;3;33;;DEPTO_TIPO;1
E09;4;34;;DEPTO_TIPO;1
E09;4;41;;DEPTO_TIPO;1
E09;4;42;;DEPTO_TIPO;1
E09;4;43;;DEPTO_TIPO;1
E09;4;44;;DEPTO_TIPO;1
E10;1;11;;DEPTO_TIPO;1
E10;1;12;;DEPTO_TIPO;1
E10;1;13;;DEPTO_MR;1
E10;1;14;;DEPTO_TIPO;1
E10;2;21;;DEPTO_TIPO;1
E10;2;22;;DEPTO_TIPO;1
E10;2;23;;DEPTO_TIPO;1
E10;2;24;;DEPTO_TIPO;1
E10;3;31;;DEPTO_TIPO;1
E10;3;32;;DEPTO_TIPO;1
E10;3;33;;DEPTO_TIPO;1
E10;4;34;;DEPTO_TIPO;1
E10;4;41;;DEPTO_TIPO;1
E10;4;42;;DEPTO_TIPO;1
E10;4;43;;DEPTO_TIPO;1
E10;4;44;;DEPTO_TIPO;1
E11;1;11;;DEPTO_TIPO;1
E11;1;12;;DEPTO_TIPO;1
E11;1;13;;DEPTO_INV;1
E11;1;14;;DEPTO_TIPO;1
E11;2;21;;DEPTO_TIPO;1
E11;2;22;;DEPTO_TIPO;1
E11;2;23;;DEPTO_TIPO;1
E11;2;24;;DEPTO_TIPO;1
E11;3;31;;DEPTO_TIPO;1
E11;3;32;;DEPTO_TIPO;1
E11;3;33;;DEPTO_TIPO;1
E11;4;34;;DEPTO_TIPO;1
E11;4;41;;DEPTO_TIPO;1
E11;4;42;;DEPTO_TIPO;1
E11;4;43;;DEPTO_TIPO;1
E11;4;44;;DEPTO_TIPO;1
E12;1;11;;DEPTO_TIPO;1
E12;1;12;;DEPTO_TIPO;1
E12;1;13;;DEPTO_INV;1
E12;1;14;;DEPTO_TIPO;1
E12;2;21;;DEPTO_TIPO;1
E12;2;22;;DEPTO_TIPO;1
E12;2;23;;DEPTO_TIPO;1
E12;2;24;;DEPTO_TIPO;1
E12;3;31;;DEPTO_TIPO;1
E12;3;32;;DEPTO_TIPO;1
E12;3;33;;DEPTO_TIPO;1
E12;4;34;;DEPTO_TIPO;1
E12;4;41;;DEPTO_TIPO;1
E12;4;42;;DEPTO_TIPO;1
E12;4;43;;DEPTO_TIPO;1
E12;4;44;;DEPTO_TIPO;1
E13;1;11;;DEPTO_TIPO;1
E13;1;12;;DEPTO_TIPO;1
E13;1;13;;DEPTO_INV;1
E13;1;14;;DEPTO_TIPO;1
E13;2;21;;DEPTO_TIPO;1
E13;2;22;;DEPTO_TIPO;1
E13;2;23;;DEPTO_TIPO;1
E13;2;24;;DEPTO_TIPO;1
E13;3;31;;DEPTO_TIPO;1
E13;3;32;;DEPTO_TIPO;1
E13;3;33;;DEPTO_TIPO;1
E13;4;34;;DEPTO_TIPO;1
E13;4;41;;DEPTO_TIPO;1
E13;4;42;;DEPTO_TIPO;1
E13;4;43;;DEPTO_TIPO;1
E13;4;44;;DEPTO_TIPO;1
E14;0;01;;DEPTO_TIPO;1
E14;0;02;;DEPTO_TIPO;1
E14;1;11;;DEPTO_TIPO;1
E14;1;12;;DEPTO_TIPO;1
E14;1;13;;DEPTO_INV;1
E14;1;14;;DEPTO_TIPO;1
E14;2;21;;DEPTO_TIPO;1
E14;2;22;;DEPTO_TIPO;1
E14;2;23;;DEPTO_TIPO;1
E14;2;24;;DEPTO_TIPO;1
E14;3;31;;DEPTO_TIPO;1
E14;3;32;;DEPTO_TIPO;1
E14;3;33;;DEPTO_TIPO;1
E14;4;34;;DEPTO_TIPO;1
E14;4;41;;DEPTO_TIPO;1
E14;4;42;;DEPTO_TIPO;1
E14;4;43;;DEPTO_TIPO;1
E14;4;44;;DEPTO_TIPO;1
E15;0;01;;DEPTO_TIPO;1
E15;0;02;;DEPTO_TIPO;1
E15;1;11;;DEPTO_TIPO;1
E15;1;12;;DEPTO_TIPO;1
E15;1;13;;DEPTO_INV;1
E15;1;14;;DEPTO_TIPO;1
E15;2;21;;DEPTO_TIPO;1
E15;2;22;;DEPTO_TIPO;1
E15;2;23;;DEPTO_TIPO;1
E15;2;24;;DEPTO_TIPO;1
E15;3;31;;DEPTO_TIPO;1
E15;3;32;;DEPTO_TIPO;1
E15;3;33;;DEPTO_TIPO;1
E15;4;34;;DEPTO_TIPO;1
E15;4;41;;DEPTO_TIPO;1
E15;4;42;;DEPTO_TIPO;1
E15;4;43;;DEPTO_TIPO;1
E15;4;44;;DEPTO_TIPO;1
E16;0;01;;DEPTO_TIPO;1
E16;0;02;;DEPTO_TIPO;1
E16;1;11;;DEPTO_TIPO;1
E16;1;12;;DEPTO_TIPO;1
E16;1;13;;DEPTO_TIPO;1
E16;1;14;;DEPTO_TIPO;1
E16;2;21;;DEPTO_TIPO;1
E16;2;22;;DEPTO_TIPO;1
E16;2;23;;DEPTO_TIPO;1
E16;2;24;;DEPTO_TIPO;1
E16;3;31;;DEPTO_TIPO;1
E16;3;32;;DEPTO_TIPO;1
E16;3;33;;DEPTO_TIPO;1
E16;4;34;;DEPTO_TIPO;1
E16;4;41;;DEPTO_TIPO;1
E16;4;42;;DEPTO_TIPO;1
E16;4;43;;DEPTO_TIPO;1
E16;4;44;;DEPTO_TIPO;1
E17;0;01;;DEPTO_TIPO;1
E17;0;02;;DEPTO_TIPO;1
E17;1;11;;DEPTO_TIPO;1
E17;1;12;;DEPTO_TIPO;1
E17;1;13;;DEPTO_TIPO;1
E17;1;14;;DEPTO_TIPO;1
E17;2;21;;DEPTO_TIPO;1
E17;2;22;;DEPTO_TIPO;1
E17;2;23;;DEPTO_TIPO;1
E17;2;24;;DEPTO_TIPO;1
E17;3;31;;DEPTO_TIPO;1
E17;3;32;;DEPTO_TIPO;1
E17;3;33;;DEPTO_TIPO;1
E17;4;34;;DEPTO_TIPO;1
E17;4;41;;DEPTO_TIPO;1
E17;4;42;;DEPTO_TIPO;1
E17;4;43;;DEPTO_TIPO;1
E17;4;44;;DEPTO_TIPO;1
E18;1;11;;DEPTO_TIPO;1
E18;1;12;;DEPTO_TIPO;1
E18;1;13;;DEPTO_TIPO;1
E18;1;14;;DEPTO_TIPO;1
E18;2;21;;DEPTO_TIPO;1
E18;2;22;;DEPTO_TIPO;1
E18;2;23;;DEPTO_TIPO;1
E18;2;24;;DEPTO_TIPO;1
E18;3;31;;DEPTO_TIPO;1
E18;3;32;;DEPTO_TIPO;1
E18;3;33;;DEPTO_TIPO;1
E18;4;34;;DEPTO_TIPO;1
E18;4;41;;DEPTO_TIPO;1
E18;4;42;;DEPTO_TIPO;1
E18;4;43;;DEPTO_TIPO;1
E18;4;44;;DEPTO_TIPO;1
E19;1;11;;DEPTO_TIPO;1
E19;1;12;;DEPTO_TIPO;1
E19;1;13;;DEPTO_TIPO;1
E19;1;14;;DEPTO_TIPO;1
E19;2;21;;DEPTO_TIPO;1
E19;2;22;;DEPTO_TIPO;1
E19;2;23;;DEPTO_TIPO;1
E19;2;24;;DEPTO_TIPO;1
E19;3;31;;DEPTO_TIPO;1
E19;3;32;;DEPTO_TIPO;1
E19;3;33;;DEPTO_TIPO;1
E19;4;34;;DEPTO_TIPO;1
E19;4;41;;DEPTO_TIPO;1
E19;4;42;;DEPTO_TIPO;1
E19;4;43;;DEPTO_TIPO;1
E19;4;44;;DEPTO_TIPO;1
E20;1;11;;DEPTO_TIPO;1
E20;1;12;;DEPTO_TIPO;1
E20;1;13;;DEPTO_TIPO;1
E20;1;14;;DEPTO_TIPO;1
E20;2;21;;DEPTO_TIPO;1
E20;2;22;;DEPTO_TIPO;1
E20;2;23;;DEPTO_TIPO;1
E20;2;24;;DEPTO_TIPO;1
E20;3;31;;DEPTO_TIPO;1
E20;3;32;;DEPTO_TIPO;1
E20;3;33;;DEPTO_TIPO;1
E20;4;34;;DEPTO_TIPO;1
E20;4;41;;DEPTO_TIPO;1
E20;4;42;;DEPTO_TIPO;1
E20;4;43;;DEPTO_TIPO;1
E20;4;44;;DEPTO_TIPO;1
