ID;TIPO
E;R
E01;R
E01.L;C
E01.L0;R
E01.L1;R
E01.N;C
E01.N0;R
E01.N0.C;C
E01.N0.C1;H
E01.N0.C2;H
E01.N0.C3;H
E01.N0.C4;H
E01.N0.C5;H
E01.N0.C6;H
E01.N1;R
E01.N1.C;C
E01.N1.C1;H
E01.N1.C2;H
E01.N1.C3;H
E01.N1.C4;H
E01.N1.C5;H
E01.N1.C6;H
E01.P;C
E01.P0;R
E01.P0.D;C
E01.P0.D01;H
E01.P0.D02;H
E01.P1;R
E01.P1.D;C
E01.P1.D11;H
E01.P1.D12;H
E01.P1.D13;H
E01.P1.D14;H
E01.P2;R
E01.P2.D;C
E01.P2.D21;H
E01.P2.D22;H
E01.P2.D23;H
E01.P2.D24;H
E01.P3;R
E01.P3.D;C
E01.P3.D31;H
E01.P3.D32;H
E01.P3.D33;H
E01.P4;R
E01.P4.D;C
E01.P4.D34;H
E01.P4.D41;H
E01.P4.D42;H
E01.P4.D43;H
E01.P4.D44;H
E02;R
E02.L;C
E02.L1;R
E02.N;C
E02.N1;R
E02.N1.C;C
E02.N1.C1;H
E02.N1.C2;H
E02.N1.C3;H
E02.N1.C4;H
E02.N1.C5;H
E02.N1.C6;H
E02.P;C
E02.P1;R
E02.P1.D;C
E02.P1.D11;H
E02.P1.D12;H
E02.P1.D13;H
E02.P1.D14;H
E02.P2;R
E02.P2.D;C
E02.P2.D21;H
E02.P2.D22;H
E02.P2.D23;H
E02.P2.D24;H
E02.P3;R
E02.P3.D;C
E02.P3.D31;H
E02.P3.D32;H
E02.P3.D33;H
E02.P4;H
E02.P4.D;R
E02.P4.D34;C
E02.P4.D41;H
E02.P4.D42;H
E02.P4.D43;H
E02.P4.D44;H
E03;R
E03.L;C
E03.L1;R
E03.N;C
E03.N1;R
E03.N1.C;C
E03.N1.C1;H
E03.N1.C2;H
E03.N1.C3;H
E03.N1.C4;H
E03.N1.C5;H
E03.N1.C6;H
E03.P;C
E03.P1;R
E03.P1.D;C
E03.P1.D11;H
E03.P1.D12;H
E03.P1.D13;H
E03.P1.D14;H
E03.P2;R
E03.P2.D;C
E03.P2.D21;H
E03.P2.D22;H
E03.P2.D23;H
E03.P2.D24;H
E03.P3;R
E03.P3.D;C
E03.P3.D31;H
E03.P3.D32;H
E03.P3.D33;H
E03.P4;H
E03.P4.D;R
E03.P4.D34;C
E03.P4.D41;H
E03.P4.D42;H
E03.P4.D43;H
E03.P4.D44;H
E04;R
E04.L;C
E04.L1;R
E04.N;C
E04.N1;R
E04.N1.C;C
E04.N1.C1;H
E04.N1.C2;H
E04.N1.C3;H
E04.N1.C4;H
E04.N1.C5;H
E04.N1.C6;H
E04.P;C
E04.P1;R
E04.P1.D;C
E04.P1.D11;H
E04.P1.D12;H
E04.P1.D13;H
E04.P1.D14;H
E04.P2;R
E04.P2.D;C
E04.P2.D21;H
E04.P2.D22;H
E04.P2.D23;H
E04.P2.D24;H
E04.P3;R
E04.P3.D;C
E04.P3.D31;H
E04.P3.D32;H
E04.P3.D33;H
E04.P4;H
E04.P4.D;R
E04.P4.D34;C
E04.P4.D41;H
E04.P4.D42;H
E04.P4.D43;H
E04.P4.D44;H
E05;R
E05.L;C
E05.L1;R
E05.N;C
E05.N1;R
E05.N1.C;C
